ID,Label,Price,Vendor ID
a3950817-f8c5-45a3-beee-e01aa40880b5,Cocktail Party,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
61af2567-e268-42dd-b41f-3a0c8da5d07f,Tulum Orange Tie-Dye Cover-Up Coord Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
4c69f1a1-103e-4bb7-af06-8c8f0484a2dd,Ilona Blush Pink Embroidered Jumpsuit,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
7b7947ba-e64e-4477-9978-8fbba547d4f9,Cottage Core,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
7d1c78c1-3b5e-4d9a-8acc-8637606125a2,Naida Blush Hand Embroidered Corset Jumpsuit,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
ec86bead-7312-4b44-8530-7d34c52686dd,Leila Hand Embroidered Corset Blouse,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
99054227-2eac-4602-af97-6c430241cd27,Neisha Pearl Handmade Choker Neck Piece,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
618312b9-f043-4ffb-a067-877750a4f598,Capri Lavender Ruffled Cover-Up Skirt,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
79887878-3dbe-4464-a095-1467d4960313,Heer Mauve Ruffled Tulle Organza Saree,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
701772ab-4a11-490b-8df5-66f5260bd8e6,Eberta White Sheer 3D Flower Cover-up Dress,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
40da8afb-f4e9-406e-8676-c22fe64989cf,Bora Bora Pink Tie-Dye Ruched Cover- Up Skirt Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
ca88386a-15b6-4719-acfd-ceed25222327,Dory Blue Ruched Cross-Back Swimsuit,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
2ba19701-57cf-47a3-ab0b-62458ab2b66d,Coralie Pink Tie-Dye Ruched Low Back Swimsuit,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
8a7d758f-95cb-4251-8ee7-88591b11d660,Kehlani Orange Tie-Dye High Waist 2-piece Swim Suit,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
c6e872e2-3253-466f-aa33-5193eaf422ac,Havelok White Nylon Crochet Cover-Up Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
854b43c8-ee29-4ccd-aaf1-3edf8dc14b28,Gia Ruffle Organza Corset Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
1272e1bc-6989-4ed4-9204-3e0d71983ca3,Ibiza Purple Ruffled Cover-Up Skirt,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
8bf96267-c188-49dc-a2d0-14fd85ce5cae,Mykonos Hot Pink Ruffle Cover-Up Maxi Skirt,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
6255773f-f219-405b-9c4b-8627cdae19fa,Mariela Pink Cherry Blossom Swim Skirt Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
dec3f668-32b2-480b-9a6f-5ea3805d2fb8,Nerida Ombre Underwire Cutout Back Swimsuit,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
a7077bc5-20a0-4a45-9f10-d972c5a54572,Portia Pink Embroidered Corset Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
ab5b7f01-fa9e-4075-9d51-5f879dbd3fb4,Seraphina Vintage Rose Print Ruched High Waist Bikini Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
4326e4d4-8429-466c-b4b2-db845021471b,Faizah Grey Rhinestone Mesh One- Piece Saree Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
0cb1866e-1791-4c5c-813b-12a0049b73f7,Nyx Purple Ruched One-Shoulder Shaping Swimsuit,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
6cb936f3-710a-476e-8f3d-49b8a5a35a14,Seychelles Orange Lace Cover-Up Pants,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
2afce8c1-29c2-4e5d-bd09-b77897df1689,Clovia White Mesh Pearl Embroidered Gloves,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
1d4fa395-bd19-42d3-8869-82fe640c6c98,Audrey Purple Ruched Mesh Corset Dress,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
842d2780-1a15-4707-aa33-b0a5c90e5c22,Esmerelda Emerald Armani Satin Slip Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
5dc0448f-553e-458c-97bd-b2494eaaba54,Shifaa Navy Blue Hand-Embroidered Shimmer Saree Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
44d01836-7f5a-40bc-8b6e-30f5b6735aba,Koa Burgundy Shimmer Embroidered Slit Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
7bf9fbb3-c3ff-49e6-8d17-381666f78608,Aurora Baby Blue Embroidered Multi-Way Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
1c492a82-26cf-4ed0-bec3-ffc1c865d429,Lucia Hand-Embroidered Trumpet Corset Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
298c9cac-a03a-4e9f-8a06-13604d981ad3,Serilda Floral Embroidery Halter Neck Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
15e4c076-ae11-4e63-9898-458e0641ef24,Mayra Black Hand Embroidered Saree Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
941794d3-644b-4174-9f0b-7319d13a23a9,Valentina Baby Pink Satin Corset Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
2f25f44f-3079-4780-9241-3403418cf4db,Georgia Black Hand Embroidered Backless Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
2bc66397-23dc-45c6-be23-c6f1c8cc0cd6,Celeste White Satin Corset Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
7dc83f52-9fbc-4b84-9d15-54d3bede4520,Aalia Burgundy Wrap Pre-Stitched Saree,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
05c47222-12a3-4d2c-b098-726385ff1121,Tullia Baby Pink Ball Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
6aae1ff3-7b97-465d-aa93-9da167107b52,Leya Ruffle Tulle Hand-Embroidered Corset Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
c70e8c15-8284-42e0-a3c5-1e7f5166acf7,Celeste Black Satin Corset Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
